Evaluated At UTC,Evaluated At EPT,Forecast Hour Beginning UTC,Forecast Hour Beginning EPT,Forecast Area,Forecast Load MW
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DAY,1478
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DAY,1478
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DAY,1478
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DAY,1444
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DUQ,1182
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DUQ,1186
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DUQ,1186
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DUQ,1186
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DUQ,1204
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,EKPC,1143
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,EKPC,1136
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,EKPC,1136
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,EKPC,1136
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,EKPC,1136
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,ATSI,6016
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,ATSI,6003
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,ATSI,6003
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,ATSI,6003
